PART NUMBER	DESCRIPTION  (optional)	 FOCAL LENGTH 	LENS DIAMETER	CLEAR APERTURE (optional)	NUMBER OF SURFACES	WAVELENGTH MICROMETERS (optional)	WAVELENGTH MICROMETERS (optional)	WAVELENGTH MICROMETERS (optional)	RADIUS 1 	THICK 1	GLASS 1	RADIUS 2	THICK 2	GLASS 2	RADIUS 3	THICK 3	GLASS 3	RADIUS 4	THICK 4	GLASS 4	RADIUS 5	THICK 5	GLASS 5	RADIUS 6	THICK 6	GLASS 6	RADIUS 7	THICK 7	GLASS 7	RADIUS 8	THICK 8	GLASS 8	
32722	Achromat	40,00	20,00		3				27,63	8,00	BaFN10	-17,58	2,00	SF10	-171,25																		
45267	Achromat	60,00	20,00		3				35,92	5,00	BK7	-28,12	2,00	SF5	-83,79																		
45211	Achromat	30,00	25,00		3				21,17	11,04	BaFN10	-16,08	3,00	SF10	-118,66																		
32319	Achromat	35,00	25,00		3				24,47	11,00	BaFN11	-16,49	2,50	SF10	-131,65																		
32321	Achromat	40,00	25,00		3				27,97	9,50	BaFN11	-18,85	2,50	SF10	-152,94																		
45212	Achromat	45,00	25,00		3				28,75	7,89	SK11	-21,38	3,00	SF5	-82,92																		
32323	Achromat	50,00	25,00		3				34,53	9,00	BaFN10	-21,98	2,50	SF10	-214,63																		
32724	Achromat	60,00	25,00		3				31,94	9,00	SSKN8	-29,95	2,40	SF10	-1029,79																		
32325	Achromat	75,00	25,00		3				46,44	7,00	BK7	-33,77	2,50	SF5	-95,94																		
45213	Achromat	85,00	25,00		3				55,68	5,01	SK11	-38,37	3,00	SF5	-146,45																		
32327	Achromat	100,00	25,00		3				61,47	6,00	BK7	-44,64	2,50	SF5	-129,94																		
32492	Achromat	125,00	25,00		3				76,28	6,00	BK7	-54,55	2,40	SF5	-162,43																		
32494	Achromat	150,00	25,00		3				91,37	5,70	BK7	-66,21	2,20	SF5	-197,71																		
32884	Achromat	175,00	25,00		3				109,16	6,00	BK7	-79,38	3,00	SF5	-226,03																		
32917	Achromat	200,00	25,00		3				124,12	8,50	BK7	-87,26	4,00	SF5	-253,10																		
45214	Achromat	225,00	25,00		3				139,53	3,00	BK7	-100,21	2,50	SF5	-291,32																		
32919	Achromat	250,00	25,00		3				160,73	5,00	BK7	-105,64	2,50	SF5	-295,75																		
45414	Achromat	275,00	25,00		3				171,03	5,00	BK7	-121,54	2,50	SF5	-352,46																		
45215	Achromat	300,00	25,00		3				184,84	3,00	BK7	-134,06	2,50	SF5	-393,98																		
45216	Achromat	400,00	25,00		3				244,65	3,00	BK7	-179,62	2,50	SF5	-534,10																		
45268	Achromat	500,00	25,00		3				290,71	3,00	BK7	-232,07	2,50	SF5	-750,52																		
32496	Achromat	50,00	30,00		3				34,81	11,00	BaFN10	-22,12	2,20	SF10	-203,48																		
45140	Achromat	60,00	30,00		3				32,60	8,47	SSKN8	-31,81	2,99	SF10	-799,64																		
32498	Achromat	75,00	30,00		3				40,51	8,40	SSKN8	-38,68	3,00	SF10	-922,04																		
32500	Achromat	100,00	30,00		3				61,36	8,25	BK7	-44,30	2,80	SF5	-128,90																		
45217	Achromat	125,00	30,00		3				81,53	4,92	SK11	-56,59	2,50	SF5	-220,08																		
32502	Achromat	150,00	30,00		3				91,31	8,10	BK7	-65,57	2,60	SF5	-195,87																		
45415	Achromat	200,00	30,00		3				123,77	5,00	BK7	-89,22	2,50	SF5	-259,43																		
45269	Achromat	300,00	30,00		3				184,40	4,50	BK7	-133,95	2,50	SF5	-394,96																		
45218	Achromat	60,00	40,00		3				37,33	14,46	SK11	-31,54	3,00	SF5	-124,51																		
45105	Achromat	80,00	40,00		3				53,76	12,07	BaFN10	-36,73	4,00	SF10	-435,85																		
32921	Achromat	120,00	40,00		3				65,22	9,60	SSKN8	-62,03	4,20	SF10	-1240,67																		
32923	Achromat	160,00	40,00		3				98,66	8,50	BK7	-70,73	4,00	SF5	-205,72																		
32925	Achromat	200,00	40,00		3				124,12	8,50	BK7	-87,26	4,00	SF5	-253,10																		
32935	Achromat	250,00	40,00		3				156,00	8,00	BK7	-108,70	4,50	SF5	-313,64																		
45178	Achromat	300,00	40,00		3				194,96	9,00	BaK4	-148,27	4,10	SF10	-483,71																		
32927	Achromat	400,00	40,00		3				257,16	8,50	BK7	-169,03	4,00	SF5	-473,08																		
45352	Achromat	450,00	40,00		3				279,60	6,00	BK7	-199,51	4,00	SF5	-579,39																		
45270	Achromat	500,00	40,00		3				305,31	6,00	BK7	-224,08	4,00	SF5	-667,68																		
45353	Achromat	100,00	50,00		3				69,28	13,92	BaFN10	-46,95	4,00	SF10	-446,01																		
32886	Achromat	150,00	50,00		3				96,85	9,50	BaK4	-73,74	4,00	SF10	-241,63																		
45179	Achromat	200,00	50,00		3				130,48	9,00	BaK4	-99,36	3,50	SF10	-320,20																		
45180	Achromat	250,00	50,00		3				162,59	9,75	BaK4	-123,82	3,50	SF10	-402,58																		
45181	Achromat	300,00	50,00		3				173,11	9,00	BaK4	-164,03	3,50	SF10	-709,83																		
45354	Achromat	350,00	50,00		3				227,16	8,00	BaK4	-174,83	4,00	SF10	-571,49																		
45271	Achromat	500,00	50,00		3				305,74	8,00	BK7	-223,20	4,00	SF5	-663,82																		
31402	Achromat	354,87	63,50		3				203,94	11,94	BK7	-156,41	8,86	SF2	-569,60			-															
42817	Achromat	486,30	63,50		3				290,86	11,43	BK7	-197,87	10,16	SF2	-680,72			-															
45417	Achromat	200,00	75,00		3				118,81	17,94	BK7	-96,37	6,00	SF5	-288,97																		
45418	Achromat	300,00	75,00		3				184,05	13,59	BK7	-137,34	6,00	SF5	-399,33																		
45419	Achromat	400,00	75,00		3				246,50	11,05	BK7	-180,92	6,00	SF5	-526,70																		
30976	Achromat	849,96	76,56		4				497,21	13,08	BK7	-345,82	0,1		-344,20	10,16	SF2	-1227,86															
50107	Achromat	1524,73	102,31		4				908,13	12,37	BK7	-626,59	0,1		-625,40	8,76	SF2	-2169,77															
70163	Achromat	1900,24	128,02		4				1131,72	15,42	BK7	-780,87	0,1		-779,37	10,92	SF2	-2704,01															
45552	Ball Lens	0,22	0,3		2				0,15	0,3	BK7	-0,15																					
45553	Ball Lens	0,37	0,5		2				0,25	0,5	BK7	-0,25																					
43708	Ball Lens	0,73	1		2				0,5	1	BK7	-0,5																					
43709	Ball Lens	1,1	1,5		2				0,75	1,5	BK7	-0,75																					
32744	Ball Lens	1,47	2		2				1	2	BK7	-1																					
43710	Ball Lens	1,83	2,5		2				1,25	2,5	BK7	-1,25																					
43711	Ball Lens	2,2	3		2				1,5	3	BK7	-1,5																					
32745	Ball Lens	2,94	4		2				2	4	BK7	-2																					
43712	Ball Lens	3,67	5		2				2,5	5	BK7	-2,5																					
32746	Ball Lens	4,4	6		2				3	6	BK7	-3																					
32747	Ball Lens	5,87	8		2				4	8	BK7	-4																					
32748	Ball Lens	7,34	10		2				5	10	BK7	-5																					
45539	Ball Lens	0,82	1,5		2				0,75	1,5	LaSFN9	-0,75																					
45540	Ball Lens	1,09	2		2				1	2	LaSFN9	-1																					
45541	Ball Lens	1,36	2,5		2				1,25	2,5	LaSFN9	-1,25																					
45542	Ball Lens	1,63	3		2				1,5	3	LaSFN9	-1,5																					
45544	Ball Lens	2,72	5		2				2,5	5	LaSFN9	-2,5																					
45545	Ball Lens	3,26	6		2				3	6	LaSFN9	-3																					
45546	Ball Lens	4,35	8		2				4	8	LaSFN9	-4																					
45547	Ball Lens	5,44	10		2				5	10	LaSFN9	-5																					
46115	Ball Lens	0,17	0,3		2				0,15	0,3	sapphire	-0,15																					
46116	Ball Lens	0,23	0,4		2				0,2	0,4	sapphire	-0,2																					
46117	Ball Lens	0,29	0,5		2				0,25	0,5	sapphire	-0,25																					
46118	Ball Lens	0,46	0,79		2				0,4	0,79	sapphire	-0,4																					
43638	Ball Lens	0,58	1		2				0,5	1	sapphire	-0,5																					
