352240-1064,FailedImport.unknown_material_type
352240-A,FailedImport.unknown_material_type
352240-B,FailedImport.unknown_material_type
352240-C,FailedImport.unknown_material_type
352610-A,FailedImport.unknown_material_type
352610-B,FailedImport.unknown_material_type
352671-405,FailedImport.unknown_material_type
352671-A,FailedImport.unknown_material_type
352671-B,FailedImport.unknown_material_type
ACA254-060-B,FailedImport.unequal_surface_radius
ACA254-075-D,FailedImport.unknown_material_type
ACA254-100-D,FailedImport.unknown_material_type
ACA254-150-D,FailedImport.unknown_material_type
ACA254-200-D,FailedImport.unknown_material_type
ACA254-300-D,FailedImport.unknown_material_type
ACY254-050-A,FailedImport.acylindrical_unsupported
ACY254-050-B,FailedImport.acylindrical_unsupported
ACY254-075-A,FailedImport.acylindrical_unsupported
ACY254-075-B,FailedImport.acylindrical_unsupported
ACY254-100-A,FailedImport.acylindrical_unsupported
ACY254-100-B,FailedImport.acylindrical_unsupported
ACY254-150-A,FailedImport.acylindrical_unsupported
ACY254-150-B,FailedImport.acylindrical_unsupported
ACY254-200-A,FailedImport.acylindrical_unsupported
ACY254-200-B,FailedImport.acylindrical_unsupported
ACY254-250-A,FailedImport.acylindrical_unsupported
ACY254-250-B,FailedImport.acylindrical_unsupported
AYL108-A,FailedImport.acylindrical_unsupported
AYL108-B,FailedImport.acylindrical_unsupported
AYL1512-A,FailedImport.acylindrical_unsupported
AYL1512-B,FailedImport.acylindrical_unsupported
AYL2018-A,FailedImport.acylindrical_unsupported
AYL2018-B,FailedImport.acylindrical_unsupported
AYL2520-A,FailedImport.acylindrical_unsupported
AYL2520-B,FailedImport.acylindrical_unsupported
AYL3026-A,FailedImport.acylindrical_unsupported
AYL3026-B,FailedImport.acylindrical_unsupported
AYL4532-A,FailedImport.acylindrical_unsupported
AYL4532-B,FailedImport.acylindrical_unsupported
AYL5040-A,FailedImport.acylindrical_unsupported
AYL5040-B,FailedImport.acylindrical_unsupported
C240TME-1064,FailedImport.unknown_material_type
C240TME-A,FailedImport.unknown_material_type
C240TME-B,FailedImport.unknown_material_type
C240TME-C,FailedImport.unknown_material_type
C610TME-A,FailedImport.unknown_material_type
C610TME-B,FailedImport.unknown_material_type
C671TME-405,FailedImport.unknown_material_type
C671TME-A,FailedImport.unknown_material_type
C671TME-B,FailedImport.unknown_material_type
CFS2-532-FC,FailedImport.manual_exclusion
CFS2-1030-FC,FailedImport.manual_exclusion
CFS2-1064-FC,FailedImport.manual_exclusion
CFS2-1310-APC,FailedImport.manual_exclusion
CFS2-1550-APC,FailedImport.manual_exclusion
CFS5-1030-FC,FailedImport.manual_exclusion
CFS5-1064-FC,FailedImport.manual_exclusion
CFS5-1310-APC,FailedImport.manual_exclusion
CFS5-1550-APC,FailedImport.manual_exclusion
CFS11-850-APC,FailedImport.manual_exclusion
CFS11-1030-FC,FailedImport.manual_exclusion
CFS11-1064-FC,FailedImport.manual_exclusion
CFS11-1310-APC,FailedImport.manual_exclusion
CFS11-1550-APC,FailedImport.manual_exclusion
CFS18-532-FC,FailedImport.glass_undefined
CFS18-850-APC,FailedImport.glass_undefined
CFS18-1030-FC,FailedImport.glass_undefined
CFS18-1064-FC,FailedImport.glass_undefined
CFS18-1310-APC,FailedImport.glass_undefined
CFS18-1550-APC,FailedImport.glass_undefined
F021APC-2000,FailedImport.manual_exclusion
F021APC-3450,FailedImport.manual_exclusion
F021APC-4950,FailedImport.manual_exclusion
F021FC-2000,FailedImport.manual_exclusion
F021FC-3450,FailedImport.manual_exclusion
F021FC-4950,FailedImport.manual_exclusion
F021SMA-2000,FailedImport.manual_exclusion
F021SMA-3450,FailedImport.manual_exclusion
F021SMA-4950,FailedImport.manual_exclusion
F028APC-2000,FailedImport.manual_exclusion
F028APC-3450,FailedImport.manual_exclusion
F028APC-4950,FailedImport.manual_exclusion
F028FC-2000,FailedImport.manual_exclusion
F028FC-3450,FailedImport.manual_exclusion
F028FC-4950,FailedImport.manual_exclusion
F028SMA-2000,FailedImport.manual_exclusion
F028SMA-3450,FailedImport.manual_exclusion
F028SMA-4950,FailedImport.manual_exclusion
F220APC-532,FailedImport.manual_exclusion
F220APC-633,FailedImport.manual_exclusion
F220APC-780,FailedImport.manual_exclusion
F220APC-850,FailedImport.glass_undefined
F220APC-980,FailedImport.manual_exclusion
F220APC-1064,FailedImport.manual_exclusion
F220APC-1310,FailedImport.manual_exclusion
F220APC-1550,FailedImport.manual_exclusion
F220FC-532,FailedImport.manual_exclusion
F220FC-543,FailedImport.manual_exclusion
F220FC-633,FailedImport.manual_exclusion
F220FC-780,FailedImport.manual_exclusion
F220FC-850,FailedImport.glass_undefined
F220FC-980,FailedImport.manual_exclusion
F220FC-1064,FailedImport.manual_exclusion
F220FC-1310,FailedImport.manual_exclusion
F220FC-1550,FailedImport.manual_exclusion
F220SMA-532,FailedImport.manual_exclusion
F220SMA-543,FailedImport.manual_exclusion
F220SMA-633,FailedImport.manual_exclusion
F220SMA-780,FailedImport.manual_exclusion
F220SMA-850,FailedImport.glass_undefined
F220SMA-980,FailedImport.manual_exclusion
F220SMA-1064,FailedImport.manual_exclusion
F220SMA-1310,FailedImport.manual_exclusion
F220SMA-1550,FailedImport.manual_exclusion
F230APC-633,FailedImport.manual_exclusion
F230APC-780,FailedImport.manual_exclusion
F230APC-980,FailedImport.manual_exclusion
F230APC-1064,FailedImport.manual_exclusion
F230APC-1310,FailedImport.manual_exclusion
F230APC-1550,FailedImport.manual_exclusion
F230FC-543,FailedImport.manual_exclusion
F230FC-633,FailedImport.manual_exclusion
F230FC-780,FailedImport.manual_exclusion
F230FC-1310,FailedImport.manual_exclusion
F230FC-1550,FailedImport.manual_exclusion
F230SMA-543,FailedImport.manual_exclusion
F230SMA-633,FailedImport.manual_exclusion
F230SMA-1310,FailedImport.manual_exclusion
F230SMA-1550,FailedImport.manual_exclusion
F240APC-532,FailedImport.manual_exclusion
F240APC-543,FailedImport.manual_exclusion
F240APC-633,FailedImport.manual_exclusion
F240APC-780,FailedImport.manual_exclusion
F240APC-850,FailedImport.glass_undefined
F240APC-980,FailedImport.manual_exclusion
F240APC-1064,FailedImport.manual_exclusion
F240APC-1310,FailedImport.manual_exclusion
F240APC-1550,FailedImport.manual_exclusion
F240FC-532,FailedImport.manual_exclusion
F240FC-543,FailedImport.manual_exclusion
